id,document,metadata
4fed7118-cf62-4343-ac48-b753bf4acdb5,"Virat Kohli is one of the most successful and consistent batsmen in IPL history. Known for his aggressive batting style and fitness, he has led the Royal Challengers Bangalore in multiple seasons.",{'team': 'Royal Challengers Bangalore'}
dbc6223d-57d9-4795-abf8-f562d0e0384f,"Rohit Sharma is the most successful captain in IPL history, leading Mumbai Indians to five titles. He's known for his calm demeanor and ability to play big innings under pressure.",{'team': 'Mumbai Indians'}
396bc5ab-b35d-4384-8f61-120b0031c8e1,"MS Dhoni, famously known as Captain Cool, has led Chennai Super Kings to multiple IPL titles. His finishing skills, wicketkeeping, and leadership are legendary.",{'team': 'Chennai Super Kings'}
64973916-ff37-4251-abfd-9db581d91059,"Jasprit Bumrah is considered one of the best fast bowlers in T20 cricket. Playing for Mumbai Indians, he is known for his yorkers and death-over expertise.",{'team': 'Mumbai Indians'}
93a1b2c6-7acd-46ea-a370-29422ee1dcb1,"Ravindra Jadeja is a dynamic all-rounder who contributes with both bat and ball. Representing Chennai Super Kings, his quick fielding and match-winning performances make him a key player.",{'team': 'Chennai Super Kings'}
5b2683ec-45a0-40fe-b056-0d5b33ede732,"Virat Kohli is one of the most successful and consistent batsmen in IPL history. Known for his aggressive batting style and fitness, he has led the Royal Challengers Bangalore in multiple seasons.",{'team': 'Royal Challengers Bangalore'}
1f9475c6-2093-49d8-b2ca-d33a25dfbc07,"Rohit Sharma is the most successful captain in IPL history, leading Mumbai Indians to five titles. He's known for his calm demeanor and ability to play big innings under pressure.",{'team': 'Mumbai Indians'}
1aa28531-d979-4b7c-9f79-5529c941c22c,"MS Dhoni, famously known as Captain Cool, has led Chennai Super Kings to multiple IPL titles. His finishing skills, wicketkeeping, and leadership are legendary.",{'team': 'Chennai Super Kings'}
fee7cd34-810a-46fa-90ae-b0dc87081158,"Jasprit Bumrah is considered one of the best fast bowlers in T20 cricket. Playing for Mumbai Indians, he is known for his yorkers and death-over expertise.",{'team': 'Mumbai Indians'}
8bc7965e-e8ea-4b1b-a69b-9b0bb6763ad1,"Ravindra Jadeja is a dynamic all-rounder who contributes with both bat and ball. Representing Chennai Super Kings, his quick fielding and match-winning performances make him a key player.",{'team': 'Chennai Super Kings'}
